[2019-08-22 22:07:51,713] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=kafka.controller (kafka.controller)
[2019-08-22 22:08:08,901] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:08:09,003] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 10 and epoch zk version is now 10 (kafka.controller.KafkaController)
[2019-08-22 22:08:09,003] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2019-08-22 22:08:09,011] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2019-08-22 22:08:09,018] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2019-08-22 22:08:09,026] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2019-08-22 22:08:09,058] INFO [Controller id=0] Initialized broker epochs cache: Map(0 -> 665) (kafka.controller.KafkaController)
[2019-08-22 22:08:09,107] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2019-08-22 22:08:09,144] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2019-08-22 22:08:09,176] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2019-08-22 22:08:09,179] INFO [Controller id=0] Partitions being reassigned: Map() (kafka.controller.KafkaController)
[2019-08-22 22:08:09,182] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2019-08-22 22:08:09,183] INFO [Controller id=0] Currently shutting brokers in the cluster: Set() (kafka.controller.KafkaController)
[2019-08-22 22:08:09,184] INFO [Controller id=0] Current list of topics in the cluster: Set(tdn-systrk) (kafka.controller.KafkaController)
[2019-08-22 22:08:09,184] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2019-08-22 22:08:09,199] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2019-08-22 22:08:09,200] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2019-08-22 22:08:09,201] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
